"scenario_id","replicate_id","n","J","J_block","K1","K2","ARI_Q","RMSE_B","RMSE_eta","elapsed_min","seed","path"
1,77,500,48,24,2,2,0.844491011359876,0.0942200008242935,0.176207960847888,0.411784815788269,1010077,"result/fits/scenario_01_n500_J24_K2/replicate_077.rds"
1,78,500,48,24,2,2,0.921006701286388,0.0930157446293828,0.133916179994058,0.413813106218974,1010078,"result/fits/scenario_01_n500_J24_K2/replicate_078.rds"
1,79,500,48,24,2,2,0.815406122064061,0.106482500061379,0.239540345040732,0.412484645843506,1010079,"result/fits/scenario_01_n500_J24_K2/replicate_079.rds"
1,80,500,48,24,2,2,0.921006701286388,0.102458052885401,0.0815298274792318,0.411647979418437,1010080,"result/fits/scenario_01_n500_J24_K2/replicate_080.rds"
1,81,500,48,24,2,2,0.744965258630197,0.107196706850311,0.234281373136643,0.411657460530599,1010081,"result/fits/scenario_01_n500_J24_K2/replicate_081.rds"
1,82,500,48,24,2,2,0.927083108879743,0.0911669803675791,0.210428147795395,0.41308673620224,1010082,"result/fits/scenario_01_n500_J24_K2/replicate_082.rds"
1,83,500,48,24,2,2,0.845102605791625,0.0929662697329983,0.152755676502367,0.410998253027598,1010083,"result/fits/scenario_01_n500_J24_K2/replicate_083.rds"
1,84,500,48,24,2,2,0.886048162507508,0.100967765342975,0.174586715118525,0.41165224313736,1010084,"result/fits/scenario_01_n500_J24_K2/replicate_084.rds"
1,85,500,48,24,2,2,0.883650735054613,0.106178706958229,0.249382567922692,0.41413402557373,1010085,"result/fits/scenario_01_n500_J24_K2/replicate_085.rds"
1,86,500,48,24,2,2,0.886932304591411,0.0949683903632823,0.188147175439149,0.412328910827637,1010086,"result/fits/scenario_01_n500_J24_K2/replicate_086.rds"
1,87,500,48,24,2,2,0.927083108879743,0.0842675783252067,0.162218282962716,0.410662277539571,1010087,"result/fits/scenario_01_n500_J24_K2/replicate_087.rds"
1,88,500,48,24,2,2,0.716728425376133,0.103818114972417,0.307876323037936,0.409605753421783,1010088,"result/fits/scenario_01_n500_J24_K2/replicate_088.rds"
1,89,500,48,24,2,2,1,0.0928658769344738,0.258022907173944,0.413380865255992,1010089,"result/fits/scenario_01_n500_J24_K2/replicate_089.rds"
1,90,500,48,24,2,2,0.960880560861353,0.0901178976260058,0.204626850322606,0.412412897745768,1010090,"result/fits/scenario_01_n500_J24_K2/replicate_090.rds"
1,91,500,48,24,2,2,0.838270651814272,0.101893695499428,0.102306007713862,0.410511640707652,1010091,"result/fits/scenario_01_n500_J24_K2/replicate_091.rds"
1,92,500,48,24,2,2,0.748203044778785,0.112018084794246,0.287857450060156,0.411228426297506,1010092,"result/fits/scenario_01_n500_J24_K2/replicate_092.rds"
1,93,500,48,24,2,2,0.963958590721254,0.0892954682671482,0.250147173959769,0.410225482781728,1010093,"result/fits/scenario_01_n500_J24_K2/replicate_093.rds"
1,94,500,48,24,2,2,0.701755175517552,0.102292695139435,0.291344949232621,0.414488999048869,1010094,"result/fits/scenario_01_n500_J24_K2/replicate_094.rds"
1,95,500,48,24,2,2,0.886932304591411,0.106660916872502,0.324478979848419,0.415165170033773,1010095,"result/fits/scenario_01_n500_J24_K2/replicate_095.rds"
1,96,500,48,24,2,2,0.838270651814272,0.114283229128393,0.294923176118636,0.41608536640803,1010096,"result/fits/scenario_01_n500_J24_K2/replicate_096.rds"
1,97,500,48,24,2,2,0.748203044778785,0.0993333447152942,0.23972577301943,0.414466726779938,1010097,"result/fits/scenario_01_n500_J24_K2/replicate_097.rds"
1,98,500,48,24,2,2,0.963958590721254,0.107297250333127,0.22378786054262,0.413807384173075,1010098,"result/fits/scenario_01_n500_J24_K2/replicate_098.rds"
1,99,500,48,24,2,2,0.889344262295082,0.0948877115450123,0.175458878891008,0.413648657004038,1010099,"result/fits/scenario_01_n500_J24_K2/replicate_099.rds"
1,100,500,48,24,2,2,0.960880560861353,0.100733145086316,0.293463924966356,0.416077637672424,1010100,"result/fits/scenario_01_n500_J24_K2/replicate_100.rds"
2,1,1000,48,24,2,2,0.923898142251104,0.0753463950832048,0.155740785350664,0.787640980879466,1110001,"result/fits/scenario_02_n1000_J24_K2/replicate_001.rds"
2,2,1000,48,24,2,2,0.923898142251104,0.078796029502762,0.189002221185292,0.791075797875722,1110002,"result/fits/scenario_02_n1000_J24_K2/replicate_002.rds"
2,3,1000,48,24,2,2,0.870901639344262,0.0728028018114016,0.138923828590838,0.788254606723785,1110003,"result/fits/scenario_02_n1000_J24_K2/replicate_003.rds"
2,4,1000,48,24,2,2,1,0.0701093767961193,0.219327612794636,0.788439019521077,1110004,"result/fits/scenario_02_n1000_J24_K2/replicate_004.rds"
2,5,1000,48,24,2,2,0.883196721311475,0.0746023344244275,0.249421733124941,0.793746801217397,1110005,"result/fits/scenario_02_n1000_J24_K2/replicate_005.rds"
2,6,1000,48,24,2,2,0.883650735054613,0.0713597832375135,0.130710973115402,0.790964114665985,1110006,"result/fits/scenario_02_n1000_J24_K2/replicate_006.rds"
2,7,1000,48,24,2,2,0.927083108879743,0.0701914301653744,0.17907473242385,0.789617379506429,1110007,"result/fits/scenario_02_n1000_J24_K2/replicate_007.rds"
2,8,1000,48,24,2,2,0.895898026101496,0.0817871180718754,0.116330405404211,0.78974701166153,1110008,"result/fits/scenario_02_n1000_J24_K2/replicate_008.rds"
2,9,1000,48,24,2,2,1,0.0648649845564656,0.15502472666227,0.787639772891998,1110009,"result/fits/scenario_02_n1000_J24_K2/replicate_009.rds"
2,10,1000,48,24,2,2,0.963958590721254,0.0755944665961699,0.141432068923829,0.796764413515727,1110010,"result/fits/scenario_02_n1000_J24_K2/replicate_010.rds"
2,11,1000,48,24,2,2,0.960880560861353,0.0730558148646444,0.152605087050804,0.787039049466451,1110011,"result/fits/scenario_02_n1000_J24_K2/replicate_011.rds"
2,12,1000,48,24,2,2,0.920700843608047,0.0643019989072354,0.156953305744925,0.815129482746124,1110012,"result/fits/scenario_02_n1000_J24_K2/replicate_012.rds"
2,13,1000,48,24,2,2,0.87988860372413,0.0674869395154458,0.113351985962442,0.818265394369761,1110013,"result/fits/scenario_02_n1000_J24_K2/replicate_013.rds"
2,14,1000,48,24,2,2,0.963958590721254,0.0722215812335388,0.238142361383815,0.817748030026754,1110014,"result/fits/scenario_02_n1000_J24_K2/replicate_014.rds"
2,15,1000,48,24,2,2,1,0.0799885549925074,0.185163770767334,0.8188197016716,1110015,"result/fits/scenario_02_n1000_J24_K2/replicate_015.rds"
2,16,1000,48,24,2,2,0.960880560861353,0.0707770991330334,0.21479105928343,0.820692408084869,1110016,"result/fits/scenario_02_n1000_J24_K2/replicate_016.rds"
2,17,1000,48,24,2,2,0.87988860372413,0.0771497937870836,0.188391505698451,0.818912601470947,1110017,"result/fits/scenario_02_n1000_J24_K2/replicate_017.rds"
2,18,1000,48,24,2,2,0.760792892539846,0.0899147966976799,0.158592939529124,0.814914953708649,1110018,"result/fits/scenario_02_n1000_J24_K2/replicate_018.rds"
2,19,1000,48,24,2,2,0.921006701286388,0.0708474635700127,0.183857412839906,0.81633718808492,1110019,"result/fits/scenario_02_n1000_J24_K2/replicate_019.rds"
2,20,1000,48,24,2,2,0.927083108879743,0.0751266405175254,0.194108340387982,0.822008601824443,1110020,"result/fits/scenario_02_n1000_J24_K2/replicate_020.rds"
2,21,1000,48,24,2,2,1,0.071605924049177,0.291697708414896,0.812265821297963,1110021,"result/fits/scenario_02_n1000_J24_K2/replicate_021.rds"
2,22,1000,48,24,2,2,1,0.0612748463908284,0.163378124869489,0.816925156116486,1110022,"result/fits/scenario_02_n1000_J24_K2/replicate_022.rds"
2,23,1000,48,24,2,2,0.960880560861353,0.0678409906278565,0.140364517575618,0.817366456985474,1110023,"result/fits/scenario_02_n1000_J24_K2/replicate_023.rds"
2,24,1000,48,24,2,2,0.921006701286388,0.0635839772992862,0.0825420259583634,0.816985166072845,1110024,"result/fits/scenario_02_n1000_J24_K2/replicate_024.rds"
2,25,1000,48,24,2,2,1,0.0620977144667612,0.108016135482676,0.815557094415029,1110025,"result/fits/scenario_02_n1000_J24_K2/replicate_025.rds"
2,26,1000,48,24,2,2,0.927083108879743,0.0719024967159973,0.129701062648614,0.798553510506948,1110026,"result/fits/scenario_02_n1000_J24_K2/replicate_026.rds"
2,27,1000,48,24,2,2,0.799364119438824,0.0678809825611127,0.158615128623292,0.796520491441091,1110027,"result/fits/scenario_02_n1000_J24_K2/replicate_027.rds"
2,28,1000,48,24,2,2,0.927083108879743,0.0621617791835472,0.155065926246134,0.796802790959676,1110028,"result/fits/scenario_02_n1000_J24_K2/replicate_028.rds"
2,29,1000,48,24,2,2,0.963958590721254,0.0724517794004507,0.176978003067968,0.795904942353566,1110029,"result/fits/scenario_02_n1000_J24_K2/replicate_029.rds"
2,30,1000,48,24,2,2,0.927083108879743,0.0807697284895273,0.276655697758592,0.799314546585083,1110030,"result/fits/scenario_02_n1000_J24_K2/replicate_030.rds"
2,31,1000,48,24,2,2,0.960880560861353,0.0672160240235137,0.107843118420674,0.798630857467651,1110031,"result/fits/scenario_02_n1000_J24_K2/replicate_031.rds"
2,32,1000,48,24,2,2,0.963958590721254,0.0724993954457145,0.211153017072768,0.795181469122569,1110032,"result/fits/scenario_02_n1000_J24_K2/replicate_032.rds"
2,33,1000,48,24,2,2,1,0.0672223642744305,0.138042690892958,0.793472365538279,1110033,"result/fits/scenario_02_n1000_J24_K2/replicate_033.rds"
2,34,1000,48,24,2,2,0.886932304591411,0.0795954145500985,0.219858205283411,0.795496555169423,1110034,"result/fits/scenario_02_n1000_J24_K2/replicate_034.rds"
2,35,1000,48,24,2,2,0.927083108879743,0.0678231428250074,0.209624718674688,0.797617900371552,1110035,"result/fits/scenario_02_n1000_J24_K2/replicate_035.rds"
2,36,1000,48,24,2,2,0.960880560861353,0.0675143273864878,0.185708022192877,0.804538102944692,1110036,"result/fits/scenario_02_n1000_J24_K2/replicate_036.rds"
2,37,1000,48,24,2,2,1,0.0687522563904169,0.202462741068099,0.795978438854217,1110037,"result/fits/scenario_02_n1000_J24_K2/replicate_037.rds"
2,38,1000,48,24,2,2,1,0.0690300766992013,0.157488280217603,0.806633162498474,1110038,"result/fits/scenario_02_n1000_J24_K2/replicate_038.rds"
