"scenario_id","replicate_id","n","J","J_block","true_K1","true_K2","fit_K1","fit_K2","BIC_mod","mean_parameter_count","elapsed_min","seed","path","true_model_BIC","best_incorrect_BIC","BIC_margin_best_wrong_minus_true","best_wrong_K1","best_wrong_K2","correct"
5,33,1000,72,36,2,2,2,2,148764.92593858,274.956,0.988142494360606,6290202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_033/fit_K1_2_K2_2.rds",148764.92593858,149129.368842964,364.442904383992,3,2,TRUE
11,33,1000,72,36,3,3,3,3,149667.110572528,296.644,1.35433370669683,12290303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_033/fit_K1_3_K2_3.rds",149667.110572528,150051.261087268,384.150514740002,4,3,TRUE
17,33,1000,72,36,4,4,4,4,151057.870490579,338.992,2.04100270271301,18290404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_033/fit_K1_4_K2_4.rds",151057.870490579,151400.69548922,342.824998641008,5,4,TRUE
5,34,1000,72,36,2,2,2,2,149125.958233198,269.062,0.992923061052958,6300202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_034/fit_K1_2_K2_2.rds",149125.958233198,149532.635455437,406.677222238999,2,3,TRUE
11,34,1000,72,36,3,3,3,3,149832.870118881,304.506,1.34072782198588,12300303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_034/fit_K1_3_K2_3.rds",149832.870118881,150190.645200077,357.775081196014,4,3,TRUE
17,34,1000,72,36,4,4,4,4,151541.236395186,344.722,2.03756463925044,18300404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_034/fit_K1_4_K2_4.rds",151541.236395186,151868.725454243,327.489059056999,5,4,TRUE
5,35,1000,72,36,2,2,2,2,148845.373715739,268.666,0.989007294178009,6310202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_035/fit_K1_2_K2_2.rds",148845.373715739,149210.760195682,365.386479943001,2,3,TRUE
11,35,1000,72,36,3,3,3,3,149934.062668701,309.442,1.34481233358383,12310303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_035/fit_K1_3_K2_3.rds",149934.062668701,150275.042117834,340.97944913301,4,3,TRUE
17,35,1000,72,36,4,4,4,4,151307.416245124,338.768,2.03446050484975,18310404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_035/fit_K1_4_K2_4.rds",151307.416245124,151623.105124378,315.688879253983,5,4,TRUE
5,36,1000,72,36,2,2,2,2,149302.111649877,269.352,1.00653210878372,6320202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_036/fit_K1_2_K2_2.rds",149302.111649877,149699.654044347,397.542394469987,3,2,TRUE
11,36,1000,72,36,3,3,3,3,150372.051394949,297.882,1.08916735251745,12320303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_036/fit_K1_3_K2_3.rds",150372.051394949,150672.519893428,300.468498478993,4,3,TRUE
17,36,1000,72,36,4,4,4,4,151000.532149525,330.48,2.02872751553853,18320404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_036/fit_K1_4_K2_4.rds",151000.532149525,151333.705941246,333.173791720998,5,4,TRUE
5,37,1000,72,36,2,2,2,2,148997.123942264,267.848,0.992392659187317,6330202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_037/fit_K1_2_K2_2.rds",148997.123942264,149347.886579561,350.762637296983,3,2,TRUE
11,37,1000,72,36,3,3,3,3,150118.850920543,311.432,1.35501710176468,12330303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_037/fit_K1_3_K2_3.rds",150118.850920543,150425.300475784,306.449555241008,4,3,TRUE
17,37,1000,72,36,4,4,4,4,151790.579271086,348.024,2.04252262910207,18330404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_037/fit_K1_4_K2_4.rds",151790.579271086,152123.077729055,332.498457968992,5,4,TRUE
5,38,1000,72,36,2,2,2,2,148731.215864082,268.128,0.993149689833323,6340202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_038/fit_K1_2_K2_2.rds",148731.215864082,149079.727238053,348.511373970978,3,2,TRUE
11,38,1000,72,36,3,3,3,3,149840.566214586,301.264,1.33726580142975,12340303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_038/fit_K1_3_K2_3.rds",149840.566214586,150250.292556557,409.726341970993,4,3,TRUE
17,38,1000,72,36,4,4,4,4,151579.680789919,336.878,2.03222321669261,18340404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_038/fit_K1_4_K2_4.rds",151579.680789919,151942.551214929,362.870425010013,5,4,TRUE
5,39,1000,72,36,2,2,2,2,149160.739424365,267.886,0.990228899319967,6350202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_039/fit_K1_2_K2_2.rds",149160.739424365,149513.055784644,352.316360279015,3,2,TRUE
11,39,1000,72,36,3,3,3,3,150201.060063745,306.432,1.34413693745931,12350303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_039/fit_K1_3_K2_3.rds",150201.060063745,150623.737340203,422.67727645798,4,3,TRUE
17,39,1000,72,36,4,4,4,4,151220.852749407,341.382,2.03926092386246,18350404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_039/fit_K1_4_K2_4.rds",151220.852749407,151565.675994056,344.823244648986,5,4,TRUE
5,40,1000,72,36,2,2,2,2,149041.496918671,264.062,0.989439614613851,6360202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_040/fit_K1_2_K2_2.rds",149041.496918671,149372.815802193,331.318883522006,2,3,TRUE
11,40,1000,72,36,3,3,3,3,150008.584428229,298.344,1.34922960599264,12360303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_040/fit_K1_3_K2_3.rds",150008.584428229,150436.626325329,428.041897100018,4,3,TRUE
17,40,1000,72,36,4,4,4,4,151400.113725712,333.344,1.29642940362295,18360404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_040/fit_K1_4_K2_4.rds",151400.113725712,152018.5176458,618.403920087992,4,3,TRUE
