"scenario_id","n","J","true_K1","true_K2","n_replicates","correct_count","correct_rate","min_BIC_margin","Q1_BIC_margin","median_BIC_margin","Q3_BIC_margin","max_BIC_margin"
5,1000,72,2,2,100,100,1,228.953456065006,348.883536106514,358.2750641905,374.131676810495,554.457743937994
11,1000,72,3,3,100,100,1,298.453755299997,340.350528658004,371.924900034501,427.697130841247,1077.570013419
17,1000,72,4,4,100,100,1,293.404390993994,339.601558817245,394.062902724996,457.659536838764,635.260688812996
