"scenario_id","replicate_id","n","J","J_block","true_K1","true_K2","fit_K1","fit_K2","bic","elapsed_min","seed","path","correct"
8,29,1000,48,24,3,3,2,3,99891.5102841952,1.02151040633519,8959023,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_029/fit_K1_2_K2_3.rds",FALSE
11,29,1000,72,36,3,3,3,3,147945.944544148,1.6535586198171,11959033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_029/fit_K1_3_K2_3.rds",TRUE
14,29,1000,48,24,4,4,2,4,100132.455260369,1.25943195025126,14959024,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_029/fit_K1_2_K2_4.rds",FALSE
17,29,1000,72,36,4,4,4,4,148437.021453135,2.62377994855245,17959044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_029/fit_K1_4_K2_4.rds",TRUE
2,30,1000,48,24,2,2,2,2,99184.4784901195,0.804534753163656,2960022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_030/fit_K1_2_K2_2.rds",TRUE
5,30,1000,72,36,2,2,2,2,147114.712489328,1.12177861134211,5960022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_030/fit_K1_2_K2_2.rds",TRUE
8,30,1000,48,24,3,3,3,3,99355.3907949307,1.18866352637609,8960033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_030/fit_K1_3_K2_3.rds",TRUE
11,30,1000,72,36,3,3,3,3,147489.70236268,1.66538630326589,11960033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_030/fit_K1_3_K2_3.rds",TRUE
14,30,1000,48,24,4,4,1,4,100194.24888931,1.12104791005452,14960014,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_030/fit_K1_1_K2_4.rds",FALSE
17,30,1000,72,36,4,4,4,4,148130.911878683,2.59443254073461,17960044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_030/fit_K1_4_K2_4.rds",TRUE
2,31,1000,48,24,2,2,2,2,98590.1153158626,0.805053726832072,2961022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_031/fit_K1_2_K2_2.rds",TRUE
5,31,1000,72,36,2,2,2,2,147287.967662994,1.11660633881887,5961022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_031/fit_K1_2_K2_2.rds",TRUE
8,31,1000,48,24,3,3,2,3,99789.6739002314,0.970930067698161,8961023,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_031/fit_K1_2_K2_3.rds",FALSE
11,31,1000,72,36,3,3,3,3,147560.811905763,1.66134760379791,11961033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_031/fit_K1_3_K2_3.rds",TRUE
14,31,1000,48,24,4,4,2,4,99912.2642520159,1.26264758904775,14961024,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_031/fit_K1_2_K2_4.rds",FALSE
17,31,1000,72,36,4,4,4,4,148800.614302376,2.89251670440038,17961044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_031/fit_K1_4_K2_4.rds",TRUE
