"dataset_id","K","BIC_mod","elapsed_min","path"
75,4,97530.4075354169,1.44380122025808,"baseline/conventional/dataset_075_K_4.rds"
76,4,97512.3157958378,1.44146986405055,"baseline/conventional/dataset_076_K_4.rds"
77,4,97277.2419272577,1.45001809199651,"baseline/conventional/dataset_077_K_4.rds"
78,4,97372.8919553439,1.54362967411677,"baseline/conventional/dataset_078_K_4.rds"
79,4,97590.8057609859,1.44738293091456,"baseline/conventional/dataset_079_K_4.rds"
80,4,97550.2033890609,1.44469377597173,"baseline/conventional/dataset_080_K_4.rds"
81,4,97523.1197471382,1.4627760330836,"baseline/conventional/dataset_081_K_4.rds"
82,4,97505.6921917739,1.45625602404277,"baseline/conventional/dataset_082_K_4.rds"
83,4,97313.6163652074,1.44436435699463,"baseline/conventional/dataset_083_K_4.rds"
84,5,97706.1211013231,2.46166537205378,"baseline/conventional/dataset_084_K_5.rds"
85,5,97407.7343920902,2.44900412559509,"baseline/conventional/dataset_085_K_5.rds"
86,4,97720.4020491114,1.45886545181274,"baseline/conventional/dataset_086_K_4.rds"
87,4,97370.2053069132,1.45420176188151,"baseline/conventional/dataset_087_K_4.rds"
88,5,97908.1768427054,2.44662518898646,"baseline/conventional/dataset_088_K_5.rds"
89,5,98110.9275514281,2.41556484699249,"baseline/conventional/dataset_089_K_5.rds"
90,5,97637.3589123389,2.41984365383784,"baseline/conventional/dataset_090_K_5.rds"
91,4,97222.4615174468,1.45076293547948,"baseline/conventional/dataset_091_K_4.rds"
92,4,97498.8365059836,1.44334638118744,"baseline/conventional/dataset_092_K_4.rds"
93,4,97575.7600071316,1.4533322374026,"baseline/conventional/dataset_093_K_4.rds"
94,4,97294.0629710288,1.44277124802272,"baseline/conventional/dataset_094_K_4.rds"
95,4,97554.4979694245,1.450035627683,"baseline/conventional/dataset_095_K_4.rds"
96,4,97650.2246590926,1.45838458538055,"baseline/conventional/dataset_096_K_4.rds"
97,4,97669.0233415692,1.45037772655487,"baseline/conventional/dataset_097_K_4.rds"
98,4,97608.1600515919,1.45104344685872,"baseline/conventional/dataset_098_K_4.rds"
99,5,97904.1335556772,2.41007239023844,"baseline/conventional/dataset_099_K_5.rds"
100,4,97453.8888463706,1.43941819667816,"baseline/conventional/dataset_100_K_4.rds"
