"n_parameter","median_rhat","q95_rhat","max_rhat","n_nonfinite","n_over_1.01","n_over_1.05","proportion_below_1.01","proportion_below_1.05","parameter_block"
6480,1.00460669579546,1.0210618805119,1.11052761752464,0,1472,14,0.772839506172839,0.997839506172839,"Delta1"
6480,1.00352564571322,1.01429738139748,1.1075152041556,0,813,6,0.874537037037037,0.999074074074074,"Delta2"
846,1.00223703194387,1.00896793968927,1.02813064544272,0,36,0,0.957446808510638,1,"eta"
4860,1,1.00749440647773,1.09299971680753,0,160,4,0.967078189300412,0.99917695473251,"Q1"
4860,1,1.00515005908077,1.05893352479042,0,86,1,0.982304526748971,0.999794238683128,"Q2"
