"n_parameter","median_rhat","q95_rhat","max_rhat","n_nonfinite","n_over_1.01","n_over_1.05","proportion_below_1.01","proportion_below_1.05","scenario_id","n","J","J_block","K","parameter_block"
432,1.00280578713504,1.01164880992586,1.02705384368967,0,38,0,0.912037037037037,1,12,2000,72,36,3,"Delta2"
45,1.00148743051573,1.00386847981935,1.00652819610985,0,0,0,1,1,12,2000,72,36,3,"eta"
324,1,1.00613409351486,1.03360461136821,0,8,0,0.975308641975309,1,12,2000,72,36,3,"Q1"
324,1,1.00338459276845,1.01693801814359,0,4,0,0.987654320987654,1,12,2000,72,36,3,"Q2"
360,1.00721763665446,1.03256767764577,1.06072124000834,0,145,2,0.597222222222222,0.994444444444444,13,500,48,24,4,"Delta1"
360,1.00574498881169,1.02405257266914,1.1075152041556,0,116,5,0.677777777777778,0.986111111111111,13,500,48,24,4,"Delta2"
72,1.00462755055492,1.01442249740222,1.02303076101116,0,13,0,0.819444444444444,1,13,500,48,24,4,"eta"
288,1.00037719245304,1.01393018748717,1.03229386489902,0,29,0,0.899305555555556,1,13,500,48,24,4,"Q1"
288,1.00047629804003,1.01146972961911,1.05893352479042,0,17,1,0.940972222222222,0.996527777777778,13,500,48,24,4,"Q2"
360,1.00612801999115,1.03091674361738,1.11052761752464,0,132,3,0.633333333333333,0.991666666666667,14,1000,48,24,4,"Delta1"
360,1.00542699243841,1.02400801479008,1.05127274808835,0,104,1,0.711111111111111,0.997222222222222,14,1000,48,24,4,"Delta2"
72,1.00588720871166,1.01523766585404,1.02813064544272,0,16,0,0.777777777777778,1,14,1000,48,24,4,"eta"
288,1.00029754604741,1.0136009946796,1.09299971680753,0,22,2,0.923611111111111,0.993055555555556,14,1000,48,24,4,"Q1"
288,1.0004114017475,1.01072569235564,1.04004875894551,0,17,0,0.940972222222222,1,14,1000,48,24,4,"Q2"
360,1.00479426945069,1.02833068660561,1.07652258553061,0,117,4,0.675,0.988888888888889,15,2000,48,24,4,"Delta1"
360,1.00411670666889,1.01588787084326,1.02994586135711,0,62,0,0.827777777777778,1,15,2000,48,24,4,"Delta2"
72,1.00428817813175,1.01041146875639,1.01658162705501,0,4,0,0.944444444444444,1,15,2000,48,24,4,"eta"
288,1.00023130204948,1.01124342295668,1.05680374345728,0,18,1,0.9375,0.996527777777778,15,2000,48,24,4,"Q1"
288,1.00013525019472,1.0087519587666,1.02863855341506,0,12,0,0.958333333333333,1,15,2000,48,24,4,"Q2"
540,1.00482432133216,1.02706635229246,1.05958630017213,0,150,3,0.722222222222222,0.994444444444444,16,500,72,36,4,"Delta1"
540,1.0031062522246,1.01384475106073,1.02693523102908,0,63,0,0.883333333333333,1,16,500,72,36,4,"Delta2"
72,1.00215611019615,1.00629790784582,1.00750737900267,0,0,0,1,1,16,500,72,36,4,"eta"
432,1.00021149783099,1.00793042285627,1.05586168665715,0,17,1,0.960648148148148,0.997685185185185,16,500,72,36,4,"Q1"
432,1,1.00470160193669,1.01402728585543,0,7,0,0.983796296296296,1,16,500,72,36,4,"Q2"
540,1.00475911866531,1.02111410200187,1.05490141820411,0,136,1,0.748148148148148,0.998148148148148,17,1000,72,36,4,"Delta1"
540,1.00289632766228,1.01366442041063,1.03436841012531,0,59,0,0.890740740740741,1,17,1000,72,36,4,"Delta2"
72,1.00202645758849,1.00679338840407,1.0083711506866,0,0,0,1,1,17,1000,72,36,4,"eta"
432,1.00014098894885,1.01156495711351,1.02618589962232,0,25,0,0.94212962962963,1,17,1000,72,36,4,"Q1"
432,1,1.0041576728331,1.0192414420813,0,6,0,0.986111111111111,1,17,1000,72,36,4,"Q2"
540,1.00406223260844,1.02086874134283,1.04105235190019,0,115,0,0.787037037037037,1,18,2000,72,36,4,"Delta1"
540,1.00297473034211,1.01434248871428,1.03077411326302,0,72,0,0.866666666666667,1,18,2000,72,36,4,"Delta2"
72,1.00163004185973,1.00651598570117,1.01134975435862,0,1,0,0.986111111111111,1,18,2000,72,36,4,"eta"
432,1.00015297658386,1.00735587144604,1.02818380013317,0,13,0,0.969907407407407,1,18,2000,72,36,4,"Q1"
432,1.00000112740061,1.00417820913532,1.01702698350342,0,4,0,0.990740740740741,1,18,2000,72,36,4,"Q2"
